ID,Calculated Design Load [W],User Design Load [W],User Design Load per Area [W/m2],Calculated Design Air Flow [m3/s],User Design Air Flow [m3/s],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [C],Indoor Temperature at Peak Load [C],Indoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Outdoor Temperature at Peak Load [C],Outdoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Minimum Outdoor Air Flow Rate [m3/s],Heat Gain Rate from DOAS [W]
14135,510.48,587.05,51.9,0.031,0.035,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 20:00,25,25,0.00831,16.75,0.00984,0.003,0
14144,369.86,425.34,126.49,0.023,0.027,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) AUG,8/15/2023 17:30,25,25,0.00788,18.87,0.00996,0.001,0
14153,376.73,433.23,111.84,0.024,0.027,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) AUG,8/15/2023 16:30,25,25,0.0079,19.45,0.00996,0.001,0
14164,2213.76,2545.82,81.01,0.13,0.149,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) AUG,8/15/2023 16:30,26,26,0.00802,19.45,0.00996,0.011,0
14175,527.16,606.24,20.09,0.033,0.038,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:30,25,25,0.00881,18.83,0.00985,0.005,0
14199,360.77,414.88,44.41,0.021,0.024,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 7:30,26,26,0.00829,14.57,0.00984,0.003,0
14207,73.82,84.89,17.88,0.005,0.005,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 9:00,25,25,0.00885,16.41,0.00984,0.001,0
14218,238.59,274.38,54.78,0.013,0.015,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 6:00,26,26.01,0.00864,13.53,0.00971,0.002,0
14229,163.47,187.99,71.56,0.01,0.012,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 20:00,25,25,0.00795,16.75,0.00984,0,0
14236,193.84,222.91,51.74,0.011,0.013,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:00,26,26,0.00818,19.16,0.00985,0.002,0
14247,973.74,1119.8,26.24,0.062,0.071,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 18:30,25,25,0.00835,17.99,0.00984,0.008,0
12212,184.03,211.64,43.19,0.012,0.013,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:30,25,25,0.00817,18.83,0.00985,0.001,0
12219,330.85,380.47,61.84,0.019,0.022,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:00,26,26,0.00805,19.16,0.00985,0.002,0
12236,1005.22,1156,46.52,0.059,0.068,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 13:00,26,26,0.00817,19.77,0.00985,0.009,0
12286,380.87,438,24.53,0.024,0.028,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 20:30,25,25,0.00867,16.45,0.00984,0.004,0
12306,252.66,290.56,60.06,0.016,0.018,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:30,25,25,0.00803,18.83,0.00985,0.001,0
12313,599.73,689.69,59.61,0.038,0.044,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:30,25,25,0.00805,18.83,0.00985,0.003,0
12344,1145.07,1316.83,52.2,0.064,0.073,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 6:00,26,26,0.00878,13.53,0.00971,0.009,0
