ID,Calculated Design Load [W],User Design Load [W],User Design Load per Area [W/m2],Calculated Design Air Flow [m3/s],User Design Air Flow [m3/s],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [C],Indoor Temperature at Peak Load [C],Indoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Outdoor Temperature at Peak Load [C],Outdoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Minimum Outdoor Air Flow Rate [m3/s],Heat Gain Rate from DOAS [W]
14135,370.87,463.59,40.98,0.018,0.022,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.98,0.01243,-3.4,0.00285,0.003,0
14144,120.01,150.01,44.61,0.006,0.007,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01263,-3.4,0.00285,0.001,0
14153,105.45,131.81,34.03,0.005,0.006,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01197,-3.4,0.00285,0.001,0
14164,791.32,989.15,31.48,0.043,0.053,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.01209,-3.4,0.00285,0.011,0
14175,603.21,754.01,24.98,0.029,0.036,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.98,0.01057,-3.4,0.00285,0.005,0
14199,333.12,416.39,44.57,0.018,0.022,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.01291,-3.4,0.00285,0.003,0
14207,162.43,203.03,42.77,0.008,0.01,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01254,-3.4,0.00285,0.001,0
14218,66.19,82.74,16.52,0.004,0.004,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.01068,-3.4,0.00285,0.002,0
14229,111.84,139.8,53.22,0.005,0.007,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01298,-3.4,0.00285,0,0
14236,229.19,286.48,66.49,0.012,0.015,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.01366,-3.4,0.00285,0.002,0
14247,1823.22,2279.02,53.4,0.105,0.132,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,21,20.98,0.0134,-3.4,0.00285,0.008,0
12212,89.09,111.36,22.73,0.004,0.005,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01127,-3.4,0.00285,0.001,0
12219,221.21,276.52,44.95,0.012,0.015,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.01327,-3.4,0.00285,0.002,0
12236,642.15,802.68,32.3,0.035,0.043,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.01241,-3.4,0.00285,0.009,0
12286,536.43,670.54,37.56,0.026,0.032,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.98,0.0119,-3.4,0.00285,0.004,0
12306,115.99,144.99,29.97,0.006,0.007,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01209,-3.4,0.00285,0.001,0
12313,296.06,370.08,31.98,0.014,0.018,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01207,-3.4,0.00285,0.003,0
12344,653.38,816.72,32.38,0.035,0.044,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.0121,-3.4,0.00285,0.009,0
