ID,Calculated Design Load [W],User Design Load [W],User Design Load per Area [W/m2],Calculated Design Air Flow [m3/s],User Design Air Flow [m3/s],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [C],Indoor Temperature at Peak Load [C],Indoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Outdoor Temperature at Peak Load [C],Outdoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Minimum Outdoor Air Flow Rate [m3/s],Heat Gain Rate from DOAS [W]
14135,548.74,631.05,54.67,0.033,0.038,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 20:00,25,25,0.00828,16.75,0.00984,0.003,0
14144,400.71,460.82,134.2,0.025,0.029,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) AUG,8/15/2023 17:30,25,25,0.00786,18.87,0.00996,0.001,0
14153,399.22,459.1,117.11,0.025,0.029,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) AUG,8/15/2023 16:30,25,25,0.00789,19.45,0.00996,0.001,0
14164,2333.14,2683.11,83.81,0.137,0.157,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) AUG,8/15/2023 16:30,26,26,0.00801,19.45,0.00996,0.011,0
14175,550.5,633.08,20.98,0.035,0.04,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:30,25,25,0.00879,18.83,0.00985,0.005,0
14199,383.41,440.93,46.07,0.022,0.026,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 8:00,26,26,0.00824,15.14,0.00984,0.003,0
14207,75.28,86.57,18.02,0.005,0.005,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 9:00,25,25,0.00886,16.41,0.00984,0.001,0
14218,237.87,273.55,54.62,0.013,0.015,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 6:00,26,26.01,0.00865,13.53,0.00971,0.002,0
14229,171.79,197.56,73.64,0.011,0.012,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 20:00,25,25,0.00795,16.75,0.00984,0,0
14236,213.55,245.59,54.71,0.013,0.014,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:00,26,26,0.00816,19.16,0.00985,0.002,0
14247,1041.7,1197.95,27.44,0.063,0.072,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 14:00,25,24.99,0.00875,20.1,0.00985,0.008,0
12212,187.56,215.69,44.02,0.012,0.014,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:30,25,25,0.00816,18.83,0.00985,0.001,0
12219,326.69,375.69,60.34,0.019,0.022,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:00,26,26,0.00806,19.16,0.00985,0.002,0
12236,1048.1,1205.31,48.02,0.061,0.071,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 12:30,26,26,0.00816,19.5,0.00985,0.009,0
12286,373.65,429.7,24.17,0.024,0.027,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 20:30,25,25,0.00868,16.45,0.00984,0.004,0
12306,247.63,284.77,58.86,0.016,0.018,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:30,25,25,0.00803,18.83,0.00985,0.001,0
12313,645.1,741.86,63.65,0.041,0.047,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:30,25,25,0.00803,18.83,0.00985,0.003,0
12344,1112.44,1279.3,50.13,0.062,0.071,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 6:00,26,26,0.00881,13.53,0.00971,0.009,0
