ID,Zone,Lighting Power Density [W/m2],Zone Area [m2],Total Power [W],End Use Subcategory,Schedule Name,Scheduled Hours/Week [hr],Hours/Week > 1% [hr],Full Load Hours/Week [hr],Return Air Fraction,Conditioned (Y/N),Consumption [kWh]
14135 GENERAL LIGHTING,14135,5,11.54,57.71,ELECTRIC EQUIPMENT#14135#GeneralLights,3330,49,49,49,0,Y,147.45
14144 GENERAL LIGHTING,14144,7.5,3.43,25.75,ELECTRIC EQUIPMENT#14144#GeneralLights,3335,49,49,49,0,Y,65.8
14153 GENERAL LIGHTING,14153,5,3.92,19.6,ELECTRIC EQUIPMENT#14153#GeneralLights,3325,56,56,56,0,Y,57.23
14164 GENERAL LIGHTING,14164,15,32.01,480.21,ELECTRIC EQUIPMENT#14164#GeneralLights,6073,117.01,123.93,116.93,0,Y,2927.84
14175 GENERAL LIGHTING,14175,5,30.18,150.91,ELECTRIC EQUIPMENT#14175#GeneralLights,3355,68.95,69.71,69.71,0,Y,548.57
14199 GENERAL LIGHTING,14199,15,9.57,143.56,ELECTRIC EQUIPMENT#14199#GeneralLights,6073,117.01,123.93,116.93,0,Y,875.27
14207 GENERAL LIGHTING,14207,5,4.8,24.01,ELECTRIC EQUIPMENT#14207#GeneralLights,3355,68.95,69.71,69.71,0,Y,87.29
14218 GENERAL LIGHTING,14218,15,5.01,75.13,ELECTRIC EQUIPMENT#14218#GeneralLights,6073,117.01,123.93,116.93,0,Y,458.04
14229 GENERAL LIGHTING,14229,5,2.68,13.41,ELECTRIC EQUIPMENT#14229#GeneralLights,3355,68.95,69.71,69.71,0,Y,48.76
14236 GENERAL LIGHTING,14236,15,4.49,67.33,ELECTRIC EQUIPMENT#14236#GeneralLights,6073,117.01,123.93,116.93,0,Y,410.54
14247 GENERAL LIGHTING,14247,2.5,43.65,109.13,ELECTRIC EQUIPMENT#14247#GeneralLights,3350,49,49,49,0,Y,278.82
12212 GENERAL LIGHTING,12212,7.5,4.9,36.75,ELECTRIC EQUIPMENT#12212#GeneralLights,3335,49,49,49,0,Y,93.89
12219 GENERAL LIGHTING,12219,15,6.23,93.4,ELECTRIC EQUIPMENT#12219#GeneralLights,6073,117.01,123.93,116.93,0,Y,569.44
12236 GENERAL LIGHTING,12236,15,25.1,376.49,ELECTRIC EQUIPMENT#12236#GeneralLights,6073,117.01,123.93,116.93,0,Y,2295.49
12286 GENERAL LIGHTING,12286,5,17.78,88.9,ELECTRIC EQUIPMENT#12286#GeneralLights,3330,49,49,49,0,Y,227.13
12306 GENERAL LIGHTING,12306,7.5,4.84,36.28,ELECTRIC EQUIPMENT#12306#GeneralLights,3335,49,49,49,0,Y,92.7
12313 GENERAL LIGHTING,12313,7.5,11.66,87.42,ELECTRIC EQUIPMENT#12313#GeneralLights,3335,49,49,49,0,Y,223.35
12344 GENERAL LIGHTING,12344,15,25.52,382.76,ELECTRIC EQUIPMENT#12344#GeneralLights,6073,117.01,123.93,116.93,0,Y,2333.69
