ID,Area [m2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [m3],Multipliers,Above Ground Gross Wall Area [m2],Underground Gross Wall Area [m2],Window Glass Area [m2],Opening Area [m2],Lighting [W/m2],People [m2 per person],Plug and Process [W/m2]
14126,31.54,No,No,76.97,1,47.82,0,1.95,2.35,0,,0
14135,11.54,Yes,Yes,28.16,1,12.5,0,2.53,2.92,5,43.59,3.58
14144,3.43,Yes,Yes,8.38,1,3.89,0,0.81,0.97,7.5,53.37,1.67
14153,3.92,Yes,Yes,9.57,1,2.67,0,0.81,0.97,5,41.12,1.61
14164,32.01,Yes,Yes,78.11,1,31.07,0,7.4,8.24,15,46.45,13.03
14175,30.18,Yes,Yes,88.66,1,0,0,0,0,5,64.5,1.57
14199,9.57,Yes,Yes,23.35,1,12.5,0,1.72,1.94,15,46.45,13.03
14207,4.8,Yes,Yes,11.72,1,3.14,0,0,0,5,64.5,1.57
14218,5.01,Yes,Yes,10.62,1,0,0,0,0,15,46.45,13.03
14229,2.68,Yes,Yes,6.55,1,3.14,0,0,0,5,64.5,1.57
14236,4.49,Yes,Yes,10.95,1,10.78,0,1.6,1.91,15,46.45,13.03
14247,43.65,Yes,Yes,106.51,1,51.29,0,9.55,10.57,2.5,53.32,3.9
433,32.2,No,No,38.22,1,8.41,0,0,0,0,,0
12212,4.9,Yes,Yes,10.32,1,0,0,0,0,7.5,53.37,1.67
12219,6.23,Yes,Yes,12.77,1,4.12,0,0,0,15,46.45,13.03
12226,9.52,No,No,4.48,1,2.54,0,0,0,0,,0
12236,25.1,Yes,Yes,55.41,1,15.17,0,1.65,1.96,15,46.45,13.03
12262,15.52,No,No,1.23,1,6.44,0,1.14,1.32,0,,0
12286,17.78,Yes,Yes,49.82,1,7.24,0,0,0,5,43.59,3.58
12306,4.84,Yes,Yes,9.92,1,0,0,0,0,7.5,53.37,1.67
12313,11.66,Yes,Yes,25.69,1,5.93,0,1,1.16,7.5,53.37,1.67
12332,12.5,No,No,0.01,1,1.42,0,0,0,0,,0
12344,25.52,Yes,Yes,63.78,1,18.32,0,1.82,2.15,15,46.45,13.03
