ID,Calculated Design Load [W],User Design Load [W],User Design Load per Area [W/m2],Calculated Design Air Flow [m3/s],User Design Air Flow [m3/s],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [C],Indoor Temperature at Peak Load [C],Indoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Outdoor Temperature at Peak Load [C],Outdoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Minimum Outdoor Air Flow Rate [m3/s],Heat Gain Rate from DOAS [W]
14135,549.19,631.57,54.72,0.033,0.038,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 20:00,25,25,0.00828,16.75,0.00984,0.003,0
14144,400.94,461.08,134.28,0.025,0.029,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) AUG,8/15/2023 17:30,25,25,0.00786,18.87,0.00996,0.001,0
14153,399.43,459.35,117.17,0.025,0.029,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) AUG,8/15/2023 16:30,25,25,0.00789,19.45,0.00996,0.001,0
14164,2334,2684.1,83.84,0.137,0.157,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) AUG,8/15/2023 16:30,26,26,0.00801,19.45,0.00996,0.011,0
14175,550.72,633.32,20.98,0.035,0.04,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:30,25,25,0.00879,18.83,0.00985,0.005,0
14199,383.6,441.15,46.09,0.022,0.026,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 8:00,26,26,0.00824,15.14,0.00984,0.003,0
14207,75.31,86.6,18.03,0.005,0.005,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 9:00,25,25,0.00886,16.41,0.00984,0.001,0
14218,237.92,273.61,54.63,0.013,0.015,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 6:00,26,26.01,0.00865,13.53,0.00971,0.002,0
14229,171.82,197.59,73.65,0.011,0.012,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 20:00,25,25,0.00795,16.75,0.00984,0,0
14236,213.72,245.77,54.75,0.013,0.014,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:00,26,26,0.00816,19.16,0.00985,0.002,0
14247,1042.46,1198.83,27.46,0.063,0.072,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 14:00,25,24.99,0.00875,20.1,0.00985,0.008,0
12212,187.62,215.76,44.04,0.012,0.014,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:30,25,25,0.00816,18.83,0.00985,0.001,0
12219,326.73,375.74,60.35,0.019,0.022,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:00,26,26,0.00806,19.16,0.00985,0.002,0
12236,1048.44,1205.7,48.04,0.061,0.071,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 12:30,26,26,0.00816,19.5,0.00985,0.009,0
12286,373.73,429.79,24.17,0.024,0.027,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 20:30,25,25,0.00868,16.45,0.00984,0.004,0
12306,247.68,284.83,58.88,0.016,0.018,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:30,25,25,0.00803,18.83,0.00985,0.001,0
12313,645.34,742.14,63.67,0.041,0.047,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 17:30,25,25,0.00803,18.83,0.00985,0.003,0
12344,1113.03,1279.98,50.16,0.062,0.071,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,7/15/2023 6:00,26,26,0.00881,13.53,0.00971,0.009,0
